team_id,team_name,player_id,player_name,position
1,Las Vegas Raiders,3,Ameer Abdullah,RB
1,Las Vegas Raiders,5,Brittain Brown,RB
1,Las Vegas Raiders,7,Sincere McCormick,RB
1,Las Vegas Raiders,8,Zamir White,RB
1,Las Vegas Raiders,10,Davante Adams,WR
1,Las Vegas Raiders,16,DJ Turner,WR
1,Las Vegas Raiders,26,Dylan Parham,G
1,Las Vegas Raiders,30,Kolton Miller,OT
1,Las Vegas Raiders,34,Maxx Crosby,DE
1,Las Vegas Raiders,38,Malcolm Koonce,DE
1,Las Vegas Raiders,40,Matthew Butler,DT
1,Las Vegas Raiders,47,Divine Deablo,LB
1,Las Vegas Raiders,49,Luke Masterson,LB
1,Las Vegas Raiders,53,Nate Hobbs,CB
1,Las Vegas Raiders,56,Sam Webb,CB
1,Las Vegas Raiders,61,Tre'von Moehrig,S
1,Las Vegas Raiders,62,Isaiah Pola-Mao,S
1,Las Vegas Raiders,65,Daniel Carlson,PK
1,Las Vegas Raiders,66,AJ Cole,P
1,Las Vegas Raiders,114,K'Lavon Chaisson,DE
1,Las Vegas Raiders,152,Jakobi Meyers,WR
1,Las Vegas Raiders,160,Kristian Wilkerson,WR
1,Las Vegas Raiders,197,Jack Jones,CB
1,Las Vegas Raiders,268,Elerson Smith,LB
1,Las Vegas Raiders,274,Darnay Holmes,CB
1,Las Vegas Raiders,289,Anthony Brown,QB
1,Las Vegas Raiders,528,Desmond Ridder,QB
1,Las Vegas Raiders,626,Harrison Bryant,TE
1,Las Vegas Raiders,720,Zach Carter,DT
1,Las Vegas Raiders,831,Gardner Minshew,QB
1,Las Vegas Raiders,869,Janarius Robinson,DE
1,Las Vegas Raiders,896,Marcus Epps,S
1,Las Vegas Raiders,1121,Nathan Peterman,QB
1,Las Vegas Raiders,1273,Dax Milne,WR
1,Las Vegas Raiders,1352,Terrace Marshall Jr.,WR
1,Las Vegas Raiders,1386,Marquan McCall,DT
1,Las Vegas Raiders,1581,Zach Gentry,TE
1,Las Vegas Raiders,1614,Robert Spillane,LB
1,Las Vegas Raiders,1819,John Jenkins,DT
1,Las Vegas Raiders,1821,Christian Wilkins,DT
1,Las Vegas Raiders,2053,Kana'i Mauga,LB
1,Las Vegas Raiders,2074,Jacob Bobenmoyer,LS
1,Las Vegas Raiders,2162,Jalen Guyton,WR
1,Las Vegas Raiders,2313,Alexander Mattison,RB
1,Las Vegas Raiders,2519,Cole Fotheringham,TE
1,Las Vegas Raiders,2549,Alex Bachman,WR
1,Las Vegas Raiders,2632,Cornell Armstrong,CB
1,Las Vegas Raiders,2765,Charles Snowden,DE
1,Las Vegas Raiders,3167,Adam Butler,DT
1,Las Vegas Raiders,6839,Phalen Sanford,S
1,Las Vegas Raiders,7250,Jackson Mitchell,LB
1,Las Vegas Raiders,7595,Amari Gainer,LB
1,Las Vegas Raiders,9038,Thomas Harper,S
1,Las Vegas Raiders,9270,M.J. Devonshire,CB
1,Las Vegas Raiders,9891,Ramel Keyton,WR
1,Las Vegas Raiders,10779,Aidan O'Connell,QB
1,Las Vegas Raiders,11899,Nesta Jade Silvera,DT
1,Las Vegas Raiders,14173,Byron Young,DT
1,Las Vegas Raiders,14306,Tommy Eichenberg,LB
1,Las Vegas Raiders,14380,Michael Mayer,TE
1,Las Vegas Raiders,14497,Brock Bowers,TE
1,Las Vegas Raiders,14573,Christopher Smith,S
1,Las Vegas Raiders,14653,Jackson PowersJohnson,G
1,Las Vegas Raiders,14928,Amari Burney,LB
1,Las Vegas Raiders,15404,Jonah Laulu,DT
1,Las Vegas Raiders,15423,DaShaun White,LB
1,Las Vegas Raiders,15925,Terrell Bynum,WR
1,Las Vegas Raiders,16617,Tre Tucker,WR
1,Las Vegas Raiders,16695,Ja'quan Sheppard,CB
1,Las Vegas Raiders,17828,Noah Shannon,DT
1,Las Vegas Raiders,18070,Jakorian Bennett,CB
1,Las Vegas Raiders,19167,Trey Taylor,S
1,Las Vegas Raiders,20653,Carter Bradley,QB
1,Las Vegas Raiders,21596,John Samuel Shenker,TE
1,Las Vegas Raiders,22350,Andre Carter II,DE
1,Las Vegas Raiders,23372,Lideatrick Griffin,WR
1,Las Vegas Raiders,23441,Decamerion Richardson,CB
1,Las Vegas Raiders,24026,Kyu Blu Kelly,CB
1,Las Vegas Raiders,24227,Tyree Wilson,DE
1,Las Vegas Raiders,24253,Rayshad Williams,CB
1,Las Vegas Raiders,25142,Ron Stone Jr.,DE
1,Las Vegas Raiders,25397,Jaydon Grant,S
1,Las Vegas Raiders,27100,Chris Collier,RB
